Scenario,Forecast,Date,RGDPgr_CCAR2018_Adverse,RGDPgr_CCAR2018_Baseline,RGDPgr_CCAR2018_Severely_Adverse,RealDisposableIncomegr_CCAR2018_Adverse,RealDisposableIncomegr_CCAR2018_Severely_Adverse,RealDisposableIncomegr_CCAR2018_Baseline,UE_Rate_CCAR2018_Baseline,UE_Rate_CCAR2018_Adverse,UE_Rate_CCAR2018_Severely_Adverse,UE_Growth_CCAR2018_Baseline,UE_Growth_CCAR2018_Adverse,UE_Growth_CCAR2018_Severely_Adverse,CPI_Inflation_Rate_CCAR2018_Baseline,CPI_Inflation_Rate_CCAR2018_Adverse,CPI_Inflation_Rate_CCAR2018_Severely_Adverse,3M_Treasury_Rate_CCAR2018_Baseline,3M_Treasury_Rate_CCAR2018_Adverse,3M_Treasury_Rate_CCAR2018_Severely_Adverse,5Y_Treasury_Rate_CCAR2018_Severely_Adverse,5Y_Treasury_Rate_CCAR2018_Adverse,5Y_Treasury_Rate_CCAR2018_Baseline,10Y_Treasury_Rate_CCAR2018_Adverse,10Y_Treasury_Rate_CCAR2018_Severely_Adverse,10Y_Treasury_Rate_CCAR2018_Baseline,BBB_Corporate_Yield_CCAR2018_Adverse,BBB_Corporate_Yield_CCAR2018_Severely_Adverse,BBB_Corporate_Yield_CCAR2018_Baseline,Mortgage_Rate_CCAR2018_Adverse,Mortgage_Rate_CCAR2018_Severely_Adverse,Mortgage_Rate_CCAR2018_Baseline,Prime_Rate_CCAR2018_Severely_Adverse,Prime_Rate_CCAR2018_Adverse,Prime_Rate_CCAR2018_Baseline,Dow_Jones_CCAR2018_Severely_Adverse,Dow_Jones_CCAR2018_Adverse,Dow_Jones_CCAR2018_Baseline,HPI_CCAR2018_Severely_Adverse,HPI_CCAR2018_Adverse,HPI_CCAR2018_Baseline,Commercial_RE_Index_CCAR2018_Baseline,Commercial_RE_Index_CCAR2018_Severely_Adverse,Commercial_RE_Index_CCAR2018_Adverse,VIX_CCAR2018_Severely_Adverse,VIX_CCAR2018_Adverse,VIX_CCAR2018_Baseline,EU_RGDPgr_CCAR2018_Baseline,EU_RGDPgr_CCAR2018_Adverse,EU_RGDPgr_CCAR2018_Severely_Adverse,EU_Inflation_CCAR2018_Baseline,EU_Inflation_CCAR2018_Adverse,EU_Inflation_CCAR2018_Severely_Adverse,EU_USD_Rate_CCAR2018_Baseline,EU_USD_Rate_CCAR2018_Adverse,EU_USD_Rate_CCAR2018_Severely_Adverse,UK_RGDPGR_CCAR2018_Baseline,UK_RGDPGR_CCAR2018_Adverse,UK_RGDPGR_CCAR2018_Severely_Adverse,UK_Inflation_CCAR2018_Baseline,UK_Inflation_CCAR2018_Adverse,UK_Inflation_CCAR2018_Severely_Adverse,UK_USD_Rate_CCAR2018_Baseline,UK_USD_Rate_CCAR2018_Adverse,UK_USD_Rate_CCAR2018_Severely_Adverse
Actual,No,1976 Q1,9.3,9.3,9.3,4.8,4.8,4.8,7.7,7.7,7.7,,,,4.7,4.7,4.7,4.9,4.9,4.9,7.4,7.4,7.4,7.6,7.6,7.6,9.4,9.4,9.4,8.9,8.9,8.9,6.8,6.8,6.8,,,,23.5,23.5,23.5,50.9,50.9,50.9,,,,6.7,6.7,6.7,,,,,,,6.5,6.5,6.5,14.9,14.9,14.9,1.916,1.916,1.916
Actual,No,1976 Q2,3.1,3.1,3.1,2.1,2.1,2.1,7.6,7.6,7.6,,,,3.6,3.6,3.6,5.2,5.2,5.2,7.4,7.4,7.4,7.6,7.6,7.6,9.4,9.4,9.4,8.8,8.8,8.8,6.9,6.9,6.9,,,,23.6,23.6,23.6,51.8,51.8,51.8,,,,5.2,5.2,5.2,,,,,,,-0.7,-0.7,-0.7,9.5,9.5,9.5,1.785,1.785,1.785
Actual,No,1976 Q3,2,2,2,3,3,3,7.7,7.7,7.7,,,,6.5,6.5,6.5,5.2,5.2,5.2,7.3,7.3,7.3,7.6,7.6,7.6,9.1,9.1,9.1,9,9,9,7.1,7.1,7.1,,,,24.6,24.6,24.6,52.6,52.6,52.6,,,,3.4,3.4,3.4,,,,,,,5.1,5.1,5.1,13.8,13.8,13.8,1.66,1.66,1.66
Actual,No,1976 Q4,3,3,3,2.4,2.4,2.4,7.8,7.8,7.8,,,,5.9,5.9,5.9,4.7,4.7,4.7,6.5,6.5,6.5,7.1,7.1,7.1,8.8,8.8,8.8,8.8,8.8,8.8,6.5,6.5,6.5,,,,25.5,25.5,25.5,53.4,53.4,53.4,,,,6.6,6.6,6.6,,,,,,,8.7,8.7,8.7,21.6,21.6,21.6,1.701,1.701,1.701
Actual,No,1977 Q1,4.7,4.7,4.7,-0.1,-0.1,-0.1,7.5,7.5,7.5,-2.6,-2.6,-2.6,7.5,7.5,7.5,4.6,4.6,4.6,6.8,6.8,6.8,7.2,7.2,7.2,8.8,8.8,8.8,8.7,8.7,8.7,6.3,6.3,6.3,,,,26.6,26.6,26.6,55,55,55,,,,1.7,1.7,1.7,,,,,,,0.2,0.2,0.2,21.3,21.3,21.3,1.72,1.72,1.72
Actual,No,1977 Q2,8.1,8.1,8.1,5.1,5.1,5.1,7.1,7.1,7.1,-6.58,-6.58,-6.58,7.2,7.2,7.2,4.8,4.8,4.8,6.8,6.8,6.8,7.3,7.3,7.3,8.7,8.7,8.7,8.8,8.8,8.8,6.5,6.5,6.5,,,,27.7,27.7,27.7,56,56,56,,,,0.5,0.5,0.5,,,,,,,-2.9,-2.9,-2.9,14,14,14,1.72,1.72,1.72
Actual,No,1977 Q3,7.3,7.3,7.3,6.3,6.3,6.3,6.9,6.9,6.9,-10.39,-10.39,-10.39,5.6,5.6,5.6,5.5,5.5,5.5,7,7,7,7.3,7.3,7.3,8.6,8.6,8.6,8.9,8.9,8.9,6.9,6.9,6.9,,,,28.7,28.7,28.7,57.3,57.3,57.3,,,,0.3,0.3,0.3,,,,,,,2.8,2.8,2.8,9.5,9.5,9.5,1.748,1.748,1.748
Actual,No,1977 Q4,0,0,0,7.9,7.9,7.9,6.7,6.7,6.7,-14.1,-14.1,-14.1,6,6,6,6.1,6.1,6.1,7.4,7.4,7.4,7.6,7.6,7.6,8.9,8.9,8.9,8.9,8.9,8.9,7.7,7.7,7.7,,,,29.7,29.7,29.7,58.5,58.5,58.5,,,,4.9,4.9,4.9,,,,,,,7.1,7.1,7.1,8.3,8.3,8.3,1.917,1.917,1.917
Actual,No,1978 Q1,1.4,1.4,1.4,2.9,2.9,2.9,6.3,6.3,6.3,-16,-16,-16,7.1,7.1,7.1,6.4,6.4,6.4,7.8,7.8,7.8,8,8,8,9,9,9,9.1,9.1,9.1,8,8,8,,,,30.8,30.8,30.8,59.7,59.7,59.7,,,,2.6,2.6,2.6,,,,,,,3.5,3.5,3.5,6.3,6.3,6.3,1.862,1.862,1.862
Actual,No,1978 Q2,16.5,16.5,16.5,4,4,4,6,6,6,-15.49,-15.49,-15.49,9.4,9.4,9.4,6.5,6.5,6.5,8.2,8.2,8.2,8.2,8.2,8.2,9.5,9.5,9.5,9.6,9.6,9.6,8.3,8.3,8.3,,,,31.9,31.9,31.9,61.4,61.4,61.4,,,,4.6,4.6,4.6,,,,,,,5,5,5,6.9,6.9,6.9,1.861,1.861,1.861
