Country,Desc_country,SSM,LEI_Code,Name,BankNameShort,Finrep,Fin_year_end,Periods,TR_16,LEI_Code_TR16,TR_15,LEI_Code_TR15
AT,Austria,Y,PQOH26KWDF7CG10L6792,Erste Group Bank AG,Erste Group,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,PQOH26KWDF7CG10L6792,Y,PQOH26KWDF7CG10L6792
AT,Austria,Y,5299004SNO5GECIBWJ18,Promontoria Sacher Holding N.V.,Promontoria Sacher,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,5299004SNO5GECIBWJ18,Y,5299004SNO5GECIBWJ18
AT,Austria,Y,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,Raiffeisen Bank International,Yes - IFRS,31/12,Jun 2017,N,,N,
AT,Austria,Y,529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen,Raiffeisenbankengruppe,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900XSTAE561178282,Y,529900XSTAE561178282
AT,Austria,Y,529900SXEWPJ1MRRX537,RAIFFEISEN-HOLDING NIEDERÖSTERREICH-WIEN registrierte Genossenschaft mit beschränkter Haftung,RAIFFEISEN HOLDING,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900SXEWPJ1MRRX537,Y,529900SXEWPJ1MRRX537
AT,Austria,Y,529900IZ8TASAYR3A694,Sberbank Europe AG,Sberbank Europe,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900IZ8TASAYR3A694,N,
AT,Austria,Y,AT0000000000043000VB,Volksbanken Verbund,Volksbanken Verbund,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900D4CD6DIB3CI904,N,
AT,Austria,Y,15DYKVGPQCMYBH2DZ583,VTB Bank (Austria) AG,VTB Bank Austria,Yes - GAAP,31/12,Dec 2016; Jun 2017,Y,15DYKVGPQCMYBH2DZ583,N,
BE,Belgium,Y,LSGM84136ACA92XCN876,AXA Bank Belgium SA,AXA Bank Belgium,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,LSGM84136ACA92XCN876,Y,LSGM84136ACA92XCN876
BE,Belgium,Y,MMYX0N4ZEZ13Z4XCG897,Bank of New York Mellon,Bank of New York Mellon,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,MMYX0N4ZEZ13Z4XCG897,N,
BE,Belgium,Y,A5GWLFH3KM7YV2SFQL84,Belfius Banque SA,Belfius Banque,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,A5GWLFH3KM7YV2SFQL84,Y,A5GWLFH3KM7YV2SFQL84
BE,Belgium,Y,D3K6HXMBBB6SK9OXH394,Dexia NV,Dexia,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,D3K6HXMBBB6SK9OXH394,Y,D3K6HXMBBB6SK9OXH394
BE,Belgium,Y,5493008QOCP58OLEN998,Investar,Investar,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,5493008QOCP58OLEN998,Y,5493008QOCP58OLEN998
BE,Belgium,Y,213800X3Q9LSAKRUWY91,KBC Group NV,KBC Group,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,213800X3Q9LSAKRUWY91,Y,213800X3Q9LSAKRUWY91
BG,Bulgaria,N,549300UY81ESCZJ0GR95,First Investment Bank,First Investment Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300UY81ESCZJ0GR95,N,
CY,Cyprus,Y,635400L14KNHZXPUZM19,Bank of Cyprus Holdings Public Limited Company,Bank of Cyprus Holdings,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,PQ0RAP85KK9Z75ONZW93,Y,PQ0RAP85KK9Z75ONZW93
CY,Cyprus,Y,5493007F6CE5P22TJ731,Co -operative Central Bank  Ltd ,Co-operative Central Bank ,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,5493007F6CE5P22TJ731,Y,5493007F6CE5P22TJ731
CY,Cyprus,Y,CXUHEGU3MADZ2CEV7C11,Hellenic Bank Public Company Ltd,Hellenic Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,CXUHEGU3MADZ2CEV7C11,Y,CXUHEGU3MADZ2CEV7C11
CY,Cyprus,Y,253400EBCBBVB9TUHN50,RCB Bank Ltd ,RCB Bank,No FINREP,31/12,Dec 2016; Jun 2017,Y,253400EBCBBVB9TUHN50,N,
DK,Denmark,N,MAES062Z21O4RZ2U7M96,Danske Bank,Danske Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,MAES062Z21O4RZ2U7M96,Y,MAES062Z21O4RZ2U7M96
DK,Denmark,N,3M5E1GQGKL17HI6CPN30,Jyske Bank,Jyske Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,3M5E1GQGKL17HI6CPN30,Y,3M5E1GQGKL17HI6CPN30
DK,Denmark,N,LIU16F6VZJSD6UKHD557,Nykredit Realkredit,Nykredit Realkredit,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,LIU16F6VZJSD6UKHD557,Y,LIU16F6VZJSD6UKHD557
DK,Denmark,N,GP5DT10VX1QRQUKVBK64,Sydbank,Sydbank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,GP5DT10VX1QRQUKVBK64,Y,GP5DT10VX1QRQUKVBK64
EE,Estonia,Y,529900JG015JC10LED24,AS LHV Group,AS LHV Group,Yes - IFRS,31/12,Dec 2016; Jun 2017,N,,N,
FI,Finland,Y,529900HEKOENJHPNN480,Kuntarahoitus Oyj,Kuntarahoitus,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900HEKOENJHPNN480,N,
FI,Finland,Y,7437003B5WFBOIEFY714,OP Financial group,OP Financial group,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,7437003B5WFBOIEFY714,Y,7437003B5WFBOIEFY714
FR,France,Y,R1IO4YJ0O79SMWVCHB58,Banque Centrale de Compensation (LCH Clearnet),LCH Clearnet,No FINREP,31/12,Dec 2016; Jun 2017,Y,R1IO4YJ0O79SMWVCHB58,N,
FR,France,Y,R0MUWSFPU8MPRO8K5P83,BNP Paribas SA,BNP Paribas,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,R0MUWSFPU8MPRO8K5P83,Y,R0MUWSFPU8MPRO8K5P83
FR,France,Y,969500FYSB4IT3QWYB65,Bpifrance (Banque Publique d’Investissement),Bpifrance,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,969500FYSB4IT3QWYB65,Y,969500FYSB4IT3QWYB65
FR,France,Y,9695000CG7B84NLR5984,Crédit Mutuel Group,Credit Mutuel Group,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,9695000CG7B84NLR5984,Y,9695000CG7B84NLR5984
