Exposure,Label
0,Total / No breakdown
101,Central banks
102,General governments
103,Central governments or central banks
104,Regional governments or local authorities
105,Public sector entities
106,Multilateral Development Banks
107,International Organisations
201,Credit institutions
202,Financial corporations other than credit institutions
203,Institutions
204,Institutions without a short-term credit assessment
301,Non-financial corporations
302,Corporates - SME
308,Corporates - Real estate. Commercial
303,Corporates
304,Corporates - Specialised Lending
305,Corporates other than specialised lending
306,Corporates without a short-term credit assessment
307,Institutions and corporates with a short-term credit assessment
401,Households
402,Real estate. Residential
403,Credit for consumption
404,Retail
405,Retail - SME
406,Retail - Secured by real estate property
407,Retail - Secured by real estate property - SME
408,Retail - Secured by real estate property - NON SME
409,Retail - Qualifying Revolving
410,Retail - Other Retail
411,Retail - Other Retail - SME
412,Retail - Other Retail - NON SME
501,Secured by mortgages on immovable property
502,Secured by mortgages on immovable property - SME
601,Exposures in default
602,Items associated with particularly high risk
603,Covered bonds
604,Claims on institutions and corporate with a short-term credit assessment
605,Claims in the form of CIU
606,Equity exposures
607,Other items
608,Securitisation
